scene,view,psnr,ssim,lpips
mic,00097.png,33.15852737426758,0.9856013655662537,0.010918715037405491
mic,00096.png,33.435523986816406,0.9856277704238892,0.011076987721025944
mic,00098.png,33.182594299316406,0.986293613910675,0.010137171484529972
mic,00099.png,33.2996826171875,0.98700350522995,0.009800994768738747
mic,00095.png,33.85605239868164,0.9874297380447388,0.009070239961147308
mic,00100.png,33.50865173339844,0.9876202940940857,0.009039744734764099
mic,00101.png,34.49123764038086,0.9886941313743591,0.008293225429952145
mic,00135.png,34.542633056640625,0.98895263671875,0.008215514943003654
mic,00102.png,35.05404281616211,0.9892417788505554,0.007839256897568703
mic,00094.png,34.572418212890625,0.9892971515655518,0.008187041617929935
mic,00134.png,34.79313278198242,0.9893680214881897,0.00779295340180397
mic,00103.png,35.203433990478516,0.9895509481430054,0.007403116673231125
mic,00136.png,34.828163146972656,0.9897313117980957,0.007804206106811762
mic,00104.png,35.198951721191406,0.9898512959480286,0.007354865316301584
mic,00133.png,35.16529846191406,0.9899675846099854,0.0075485361739993095
mic,00137.png,34.930686950683594,0.9902623891830444,0.007486710790544748
mic,00117.png,34.400508880615234,0.990750789642334,0.007576288189738989
mic,00118.png,34.4346923828125,0.9907531142234802,0.00744493305683136
mic,00093.png,35.53807830810547,0.99086993932724,0.007728059776127338
mic,00105.png,35.685646057128906,0.9909286499023438,0.007006912026554346
mic,00070.png,34.98234176635742,0.990980863571167,0.007078968919813633
mic,00116.png,34.587440490722656,0.9910261631011963,0.0069799646735191345
mic,00132.png,35.2186164855957,0.9910533428192139,0.007010660134255886
mic,00115.png,34.8194465637207,0.9912952184677124,0.006823025178164244
mic,00071.png,35.265708923339844,0.991377592086792,0.007226276211440563
mic,00119.png,34.539276123046875,0.9914407730102539,0.007083514239639044
mic,00120.png,34.739994049072266,0.9916394352912903,0.0067227063700556755
mic,00138.png,35.633235931396484,0.9917781352996826,0.006216502748429775
mic,00114.png,35.2223014831543,0.9918540716171265,0.006482710130512714
mic,00072.png,35.2019157409668,0.9918687343597412,0.007248486392199993
mic,00019.png,36.25385665893555,0.9919333457946777,0.006930705159902573
mic,00068.png,35.65918731689453,0.9919549226760864,0.00719207338988781
mic,00106.png,36.177391052246094,0.992048442363739,0.0061559490859508514
mic,00037.png,36.31413650512695,0.9920865297317505,0.006863901857286692
mic,00038.png,36.29391098022461,0.9922022223472595,0.006632442120462656
mic,00020.png,36.5555419921875,0.9922943711280823,0.006876678206026554
mic,00129.png,35.97924041748047,0.9923011660575867,0.0064869532361626625
mic,00113.png,35.645938873291016,0.9923141002655029,0.0063429526053369045
mic,00073.png,35.78730010986328,0.9923275709152222,0.007109343074262142
mic,00039.png,36.43952560424805,0.9923943877220154,0.006214677821844816
mic,00069.png,35.68203353881836,0.992405116558075,0.006183716934174299
mic,00122.png,35.2785758972168,0.9924240112304688,0.006020749919116497
mic,00162.png,35.69491958618164,0.9924442768096924,0.0054565113969147205
mic,00018.png,36.528785705566406,0.9925467371940613,0.006594909355044365
mic,00130.png,35.79991149902344,0.9926234483718872,0.00605176854878664
mic,00161.png,35.73316192626953,0.9926474690437317,0.00530304154381156
mic,00092.png,36.5931510925293,0.9926511645317078,0.0062828040681779385
mic,00022.png,36.588768005371094,0.9926899671554565,0.006715830881148577
mic,00127.png,35.59517288208008,0.9927445650100708,0.005298160947859287
mic,00131.png,36.72621154785156,0.9927482008934021,0.006204131990671158
mic,00121.png,35.13996505737305,0.9927883148193359,0.0064144134521484375
mic,00128.png,36.37556838989258,0.9927923679351807,0.005683694034814835
mic,00139.png,36.321876525878906,0.9928032159805298,0.005686528980731964
mic,00160.png,35.86149597167969,0.9928088188171387,0.004677330609411001
mic,00124.png,35.93568801879883,0.9928128719329834,0.005167447961866856
mic,00021.png,36.81475830078125,0.9928421378135681,0.0063370950520038605
mic,00067.png,35.80022430419922,0.9929087162017822,0.0059869978576898575
mic,00107.png,36.677978515625,0.9929193258285522,0.005903935059905052
mic,00112.png,36.09755325317383,0.9929234981536865,0.0059822360053658485
