paper,venue,scene_type,scene,dataset,iteration,target_psnr,repro_psnr,psnr_deviation_pct,target_ssim,repro_ssim,ssim_deviation_pct,target_lpips,repro_lpips,lpips_note,status
"3D Gaussian Splatting as Markov Chain Monte Carlo","NeurIPS 2024 Spotlight","synthetic","mic","NeRF Synthetic",30000,37.29,37.269859,-0.0540,0.99,0.993983,0.4023,0.01,0.004916,"lower is better; reproduced value is better than the rounded paper target","PASS"
"3D Gaussian Splatting as Markov Chain Monte Carlo","NeurIPS 2024 Spotlight","real","train","Tanks and Temples",30000,22.40,22.257452,-0.6364,0.83,0.825110,-0.5892,0.24,0.201022,"lower is better; reproduced value is better than the paper target","PASS"
