timestamp,gpu_mem_mb
2026-06-13T16:23:32.297394+08:00,757
2026-06-13T16:23:37.367153+08:00,2226
2026-06-13T16:23:42.427575+08:00,3220
2026-06-13T16:23:47.496701+08:00,3220
2026-06-13T16:23:52.566338+08:00,3220
2026-06-13T16:23:57.635826+08:00,3282
2026-06-13T16:24:02.702446+08:00,3270
2026-06-13T16:24:07.753361+08:00,3308
2026-06-13T16:24:12.797662+08:00,3382
2026-06-13T16:24:17.854889+08:00,3478
2026-06-13T16:24:22.923349+08:00,3510
2026-06-13T16:24:27.965046+08:00,3534
2026-06-13T16:24:33.024448+08:00,3556
2026-06-13T16:24:38.085472+08:00,3508
2026-06-13T16:24:43.140478+08:00,3680
2026-06-13T16:24:48.198556+08:00,3598
2026-06-13T16:24:53.251782+08:00,3568
2026-06-13T16:24:58.297405+08:00,3746
2026-06-13T16:25:03.353913+08:00,3684
2026-06-13T16:25:08.423204+08:00,3696
2026-06-13T16:25:13.482774+08:00,3790
2026-06-13T16:25:18.541076+08:00,3692
2026-06-13T16:25:23.582503+08:00,3696
2026-06-13T16:25:28.650376+08:00,3776
2026-06-13T16:25:33.694624+08:00,3810
2026-06-13T16:25:38.751101+08:00,3914
2026-06-13T16:25:43.806748+08:00,3892
2026-06-13T16:25:48.874350+08:00,3904
2026-06-13T16:25:53.929554+08:00,3904
2026-06-13T16:25:58.973156+08:00,4078
2026-06-13T16:26:04.014681+08:00,3988
2026-06-13T16:26:09.081799+08:00,4034
2026-06-13T16:26:14.131801+08:00,4034
2026-06-13T16:26:19.174584+08:00,4084
2026-06-13T16:26:24.244241+08:00,4110
2026-06-13T16:26:29.302081+08:00,4124
2026-06-13T16:26:34.346496+08:00,4124
2026-06-13T16:26:39.413535+08:00,4132
2026-06-13T16:26:44.478474+08:00,4284
2026-06-13T16:26:49.547447+08:00,4284
2026-06-13T16:26:54.605695+08:00,4294
2026-06-13T16:26:59.673328+08:00,4364
2026-06-13T16:27:04.730262+08:00,4364
2026-06-13T16:27:09.801308+08:00,4422
2026-06-13T16:27:14.860041+08:00,4422
2026-06-13T16:27:19.928200+08:00,4356
2026-06-13T16:27:24.996038+08:00,4400
2026-06-13T16:27:30.054689+08:00,4400
