timestamp,gpu_mem_mb
2026-06-13T17:13:08.112817+08:00,758
2026-06-13T17:13:13.171368+08:00,2207
2026-06-13T17:13:18.214269+08:00,3171
2026-06-13T17:13:23.274618+08:00,3171
2026-06-13T17:13:28.333317+08:00,3237
2026-06-13T17:13:33.385576+08:00,3269
2026-06-13T17:13:38.447406+08:00,3295
2026-06-13T17:13:43.504515+08:00,3355
2026-06-13T17:13:48.568461+08:00,3415
2026-06-13T17:13:53.617024+08:00,3479
2026-06-13T17:13:58.675374+08:00,3521
2026-06-13T17:14:03.745552+08:00,3549
2026-06-13T17:14:08.812609+08:00,3513
2026-06-13T17:14:13.865685+08:00,3691
2026-06-13T17:14:18.932586+08:00,3605
2026-06-13T17:14:23.987850+08:00,3583
2026-06-13T17:14:29.059858+08:00,3583
2026-06-13T17:14:34.135532+08:00,3861
2026-06-13T17:14:39.182098+08:00,3697
2026-06-13T17:14:44.243455+08:00,3717
2026-06-13T17:14:49.315010+08:00,3821
2026-06-13T17:14:54.382388+08:00,3669
2026-06-13T17:14:59.423972+08:00,3851
2026-06-13T17:15:04.472170+08:00,3822
2026-06-13T17:15:09.516610+08:00,3852
2026-06-13T17:15:14.570522+08:00,4034
2026-06-13T17:15:19.628380+08:00,3928
2026-06-13T17:15:24.702202+08:00,3998
2026-06-13T17:15:29.770990+08:00,4042
2026-06-13T17:15:34.838937+08:00,4014
2026-06-13T17:15:39.910911+08:00,4014
2026-06-13T17:15:44.980050+08:00,3962
2026-06-13T17:15:50.049681+08:00,4088
2026-06-13T17:15:55.120943+08:00,4146
2026-06-13T17:16:00.181658+08:00,4146
2026-06-13T17:16:05.251858+08:00,4230
2026-06-13T17:16:10.323589+08:00,4244
2026-06-13T17:16:15.363649+08:00,4244
2026-06-13T17:16:20.438252+08:00,4384
2026-06-13T17:16:25.489081+08:00,4394
2026-06-13T17:16:30.541670+08:00,4500
2026-06-13T17:16:35.608521+08:00,4500
2026-06-13T17:16:40.673096+08:00,4336
2026-06-13T17:16:45.734177+08:00,4336
2026-06-13T17:16:50.806109+08:00,4630
2026-06-13T17:16:55.882216+08:00,4556
2026-06-13T17:17:00.960098+08:00,4556
2026-06-13T17:17:06.018743+08:00,4524
2026-06-13T17:17:11.081356+08:00,4524
