timestamp,gpu_mem_mb
2026-06-13T15:34:46.032630+08:00,757
2026-06-13T15:34:51.096760+08:00,966
2026-06-13T15:34:56.142621+08:00,3170
2026-06-13T15:35:01.189473+08:00,3170
2026-06-13T15:35:06.253903+08:00,3212
2026-06-13T15:35:11.324967+08:00,3258
2026-06-13T15:35:16.394911+08:00,3276
2026-06-13T15:35:21.465597+08:00,3308
2026-06-13T15:35:26.537344+08:00,3412
2026-06-13T15:35:31.595383+08:00,3444
2026-06-13T15:35:36.663695+08:00,3518
2026-06-13T15:35:41.732258+08:00,3522
2026-06-13T15:35:46.776231+08:00,3612
2026-06-13T15:35:51.845365+08:00,3558
2026-06-13T15:35:56.900488+08:00,3682
2026-06-13T15:36:01.942239+08:00,3570
2026-06-13T15:36:06.993314+08:00,3576
2026-06-13T15:36:12.060916+08:00,3724
2026-06-13T15:36:17.134671+08:00,3706
2026-06-13T15:36:22.180024+08:00,3724
2026-06-13T15:36:27.245879+08:00,3882
2026-06-13T15:36:32.299247+08:00,3684
2026-06-13T15:36:37.346496+08:00,3778
2026-06-13T15:36:42.412569+08:00,3848
2026-06-13T15:36:47.469165+08:00,4020
2026-06-13T15:36:52.527685+08:00,4020
2026-06-13T15:36:57.583108+08:00,3836
2026-06-13T15:37:02.640938+08:00,3992
2026-06-13T15:37:07.707977+08:00,4018
2026-06-13T15:37:12.748115+08:00,4002
2026-06-13T15:37:17.807540+08:00,4002
2026-06-13T15:37:22.908988+08:00,4154
2026-06-13T15:37:27.967949+08:00,4094
2026-06-13T15:37:33.024351+08:00,4144
2026-06-13T15:37:38.094067+08:00,4248
2026-06-13T15:37:43.153595+08:00,4338
2026-06-13T15:37:48.212381+08:00,4340
2026-06-13T15:37:53.272197+08:00,4278
2026-06-13T15:37:58.326958+08:00,4278
2026-06-13T15:38:03.384559+08:00,4400
2026-06-13T15:38:08.427682+08:00,4496
2026-06-13T15:38:13.498693+08:00,4496
2026-06-13T15:38:18.552696+08:00,4462
2026-06-13T15:38:23.604582+08:00,4462
2026-06-13T15:38:28.659365+08:00,4608
2026-06-13T15:38:33.713023+08:00,4538
2026-06-13T15:38:38.755444+08:00,4538
2026-06-13T15:38:43.811891+08:00,4628
2026-06-13T15:38:48.870923+08:00,4628
2026-06-13T15:38:53.930083+08:00,4712
2026-06-13T15:38:58.997545+08:00,4712
2026-06-13T15:39:04.065466+08:00,4784
2026-06-13T15:39:09.107926+08:00,4890
2026-06-13T15:39:14.158884+08:00,4890
2026-06-13T15:39:19.228077+08:00,4978
2026-06-13T15:39:24.282803+08:00,4978
2026-06-13T15:39:29.338175+08:00,4926
2026-06-13T15:39:34.406668+08:00,4926
2026-06-13T15:39:39.449603+08:00,4970
2026-06-13T15:39:44.491479+08:00,4970
2026-06-13T15:39:49.545003+08:00,4970
2026-06-13T15:39:54.590307+08:00,5066
2026-06-13T15:39:59.653646+08:00,5066
2026-06-13T15:40:04.721987+08:00,5200
2026-06-13T15:40:09.793180+08:00,5200
2026-06-13T15:40:14.844699+08:00,5178
2026-06-13T15:40:19.893894+08:00,5178
2026-06-13T15:40:24.964344+08:00,4978
2026-06-13T15:40:30.022491+08:00,4978
2026-06-13T15:40:35.080393+08:00,4978
2026-06-13T15:40:40.138625+08:00,5000
2026-06-13T15:40:45.221892+08:00,5000
2026-06-13T15:40:50.281050+08:00,4996
2026-06-13T15:40:55.356540+08:00,4996
2026-06-13T15:41:00.402158+08:00,5120
2026-06-13T15:41:05.486568+08:00,5120
2026-06-13T15:41:10.557288+08:00,5192
2026-06-13T15:41:15.642140+08:00,5192
2026-06-13T15:41:20.683567+08:00,4980
2026-06-13T15:41:25.743682+08:00,4980
2026-06-13T15:41:30.793105+08:00,4980
2026-06-13T15:41:35.858713+08:00,5030
2026-06-13T15:41:40.914927+08:00,5030
2026-06-13T15:41:46.022808+08:00,4898
2026-06-13T15:41:51.081482+08:00,4898
