timestamp,gpu_mem_mb
2026-06-13T23:07:36.131381+08:00,8
2026-06-13T23:07:41.170990+08:00,2209
2026-06-13T23:07:46.228534+08:00,2413
2026-06-13T23:07:51.274035+08:00,2455
2026-06-13T23:07:56.322083+08:00,2511
2026-06-13T23:08:01.366950+08:00,2537
2026-06-13T23:08:06.420342+08:00,2581
2026-06-13T23:08:11.465578+08:00,2673
2026-06-13T23:08:16.516893+08:00,2707
2026-06-13T23:08:21.594024+08:00,2831
2026-06-13T23:08:26.641823+08:00,2813
2026-06-13T23:08:31.685452+08:00,2875
2026-06-13T23:08:36.737265+08:00,2863
2026-06-13T23:08:41.783603+08:00,2797
2026-06-13T23:08:46.823739+08:00,2959
2026-06-13T23:08:51.875742+08:00,2947
2026-06-13T23:08:56.918203+08:00,2957
2026-06-13T23:09:01.974512+08:00,3123
2026-06-13T23:09:07.025411+08:00,2979
2026-06-13T23:09:12.076041+08:00,3045
2026-06-13T23:09:17.122190+08:00,3059
2026-06-13T23:09:22.162234+08:00,3253
2026-06-13T23:09:27.202931+08:00,3143
2026-06-13T23:09:32.252577+08:00,3243
2026-06-13T23:09:37.296066+08:00,3257
2026-06-13T23:09:42.334384+08:00,3229
2026-06-13T23:09:47.379384+08:00,3261
2026-06-13T23:09:52.435289+08:00,3397
2026-06-13T23:09:57.482606+08:00,3449
2026-06-13T23:10:02.532238+08:00,3383
2026-06-13T23:10:07.578088+08:00,3097
2026-06-13T23:10:12.634169+08:00,3575
2026-06-13T23:10:17.679647+08:00,3597
2026-06-13T23:10:22.727382+08:00,3531
2026-06-13T23:10:27.779451+08:00,3727
2026-06-13T23:10:32.833904+08:00,3727
2026-06-13T23:10:37.892796+08:00,3687
2026-06-13T23:10:42.936197+08:00,3753
2026-06-13T23:10:47.980812+08:00,3655
2026-06-13T23:10:53.025863+08:00,3655
2026-06-13T23:10:58.079288+08:00,3881
2026-06-13T23:11:03.129166+08:00,3833
2026-06-13T23:11:08.182217+08:00,3833
2026-06-13T23:11:13.228622+08:00,4019
2026-06-13T23:11:18.278512+08:00,4115
2026-06-13T23:11:23.331097+08:00,4115
2026-06-13T23:11:28.381888+08:00,4033
2026-06-13T23:11:33.429193+08:00,4033
2026-06-13T23:11:38.471286+08:00,3823
2026-06-13T23:11:43.513038+08:00,3801
2026-06-13T23:11:48.560143+08:00,3963
2026-06-13T23:11:53.610887+08:00,3811
2026-06-13T23:11:58.658999+08:00,3811
2026-06-13T23:12:03.708777+08:00,3813
2026-06-13T23:12:08.757523+08:00,3795
2026-06-13T23:12:13.807939+08:00,3795
2026-06-13T23:12:18.851962+08:00,3773
2026-06-13T23:12:23.905480+08:00,3831
2026-06-13T23:12:28.953394+08:00,3831
2026-06-13T23:12:34.003692+08:00,3803
2026-06-13T23:12:39.050047+08:00,3803
2026-06-13T23:12:44.100713+08:00,3761
2026-06-13T23:12:49.152877+08:00,3787
2026-06-13T23:12:54.196052+08:00,3787
2026-06-13T23:12:59.243918+08:00,3853
2026-06-13T23:13:04.292460+08:00,3797
2026-06-13T23:13:09.334037+08:00,3797
2026-06-13T23:13:14.382129+08:00,3811
2026-06-13T23:13:19.429650+08:00,3811
2026-06-13T23:13:24.486720+08:00,3811
2026-06-13T23:13:29.529601+08:00,3823
2026-06-13T23:13:34.572378+08:00,3781
2026-06-13T23:13:39.625249+08:00,3781
2026-06-13T23:13:44.680869+08:00,3785
2026-06-13T23:13:49.721428+08:00,3795
2026-06-13T23:13:54.770032+08:00,3795
2026-06-13T23:13:59.821966+08:00,3785
2026-06-13T23:14:04.867935+08:00,3265
2026-06-13T23:14:09.913975+08:00,3795
2026-06-13T23:14:14.958284+08:00,3813
2026-06-13T23:14:19.999017+08:00,3813
2026-06-13T23:14:25.076281+08:00,3783
2026-06-13T23:14:30.122694+08:00,3829
2026-06-13T23:14:35.171724+08:00,3829
2026-06-13T23:14:40.212055+08:00,3795
2026-06-13T23:14:45.269353+08:00,3767
2026-06-13T23:14:50.375271+08:00,3767
2026-06-13T23:14:55.426549+08:00,3763
2026-06-13T23:15:00.495357+08:00,3811
2026-06-13T23:15:05.536496+08:00,3811
2026-06-13T23:15:10.597399+08:00,3821
2026-06-13T23:15:15.643394+08:00,3799
2026-06-13T23:15:20.696119+08:00,3799
2026-06-13T23:15:25.750543+08:00,3785
2026-06-13T23:15:30.797434+08:00,3811
2026-06-13T23:15:35.846227+08:00,3811
2026-06-13T23:15:40.889473+08:00,3777
2026-06-13T23:15:45.988192+08:00,3807
2026-06-13T23:15:51.034408+08:00,3807
2026-06-13T23:15:56.083777+08:00,3807
2026-06-13T23:16:01.172079+08:00,3863
2026-06-13T23:16:06.217466+08:00,3863
2026-06-13T23:16:11.270810+08:00,3751
2026-06-13T23:16:16.323707+08:00,3811
2026-06-13T23:16:21.372778+08:00,3811
2026-06-13T23:16:26.420491+08:00,3849
2026-06-13T23:16:31.473362+08:00,3781
2026-06-13T23:16:36.531534+08:00,3781
2026-06-13T23:16:41.643140+08:00,3755
2026-06-13T23:16:46.681631+08:00,3793
2026-06-13T23:16:51.729615+08:00,3793
2026-06-13T23:16:56.774847+08:00,3871
2026-06-13T23:17:01.824486+08:00,3825
