timestamp,gpu_mem_mb
2026-06-13T23:50:22.765079+08:00,9
2026-06-13T23:50:27.814834+08:00,2209
2026-06-13T23:50:32.874147+08:00,2413
2026-06-13T23:50:37.941790+08:00,2455
2026-06-13T23:50:42.999170+08:00,2511
2026-06-13T23:50:48.053721+08:00,2545
2026-06-13T23:50:53.097273+08:00,2575
2026-06-13T23:50:58.140570+08:00,2715
2026-06-13T23:51:03.187988+08:00,2763
2026-06-13T23:51:08.238639+08:00,2839
2026-06-13T23:51:13.278464+08:00,2745
2026-06-13T23:51:18.330826+08:00,2879
2026-06-13T23:51:23.372000+08:00,2849
2026-06-13T23:51:28.415793+08:00,2805
2026-06-13T23:51:33.458903+08:00,3021
2026-06-13T23:51:38.505816+08:00,2935
2026-06-13T23:51:43.553233+08:00,2965
2026-06-13T23:51:48.607923+08:00,3131
2026-06-13T23:51:53.657332+08:00,2947
2026-06-13T23:51:58.700769+08:00,3015
2026-06-13T23:52:03.746860+08:00,3065
2026-06-13T23:52:08.794342+08:00,3265
2026-06-13T23:52:13.854102+08:00,3139
2026-06-13T23:52:18.899698+08:00,3249
2026-06-13T23:52:23.943059+08:00,3267
2026-06-13T23:52:28.990934+08:00,3231
2026-06-13T23:52:34.034206+08:00,3377
2026-06-13T23:52:39.080792+08:00,3327
2026-06-13T23:52:44.130334+08:00,3369
2026-06-13T23:52:49.170672+08:00,3457
2026-06-13T23:52:54.223160+08:00,3457
2026-06-13T23:52:59.271936+08:00,3479
2026-06-13T23:53:04.332494+08:00,3519
2026-06-13T23:53:09.375074+08:00,3513
2026-06-13T23:53:14.424350+08:00,3729
2026-06-13T23:53:19.474746+08:00,3729
2026-06-13T23:53:24.521483+08:00,3585
2026-06-13T23:53:29.568565+08:00,3739
2026-06-13T23:53:34.612872+08:00,3657
2026-06-13T23:53:39.654741+08:00,3787
2026-06-13T23:53:44.716061+08:00,3751
2026-06-13T23:53:49.767750+08:00,3975
2026-06-13T23:53:54.817469+08:00,3975
2026-06-13T23:53:59.861327+08:00,4027
2026-06-13T23:54:04.913426+08:00,4027
2026-06-13T23:54:09.959035+08:00,4175
2026-06-13T23:54:15.009763+08:00,4003
2026-06-13T23:54:20.051312+08:00,4003
2026-06-13T23:54:25.101644+08:00,3813
2026-06-13T23:54:30.150048+08:00,3617
2026-06-13T23:54:35.199255+08:00,3779
2026-06-13T23:54:40.250289+08:00,3819
2026-06-13T23:54:45.298306+08:00,3819
2026-06-13T23:54:50.364333+08:00,3831
2026-06-13T23:54:55.441279+08:00,3799
2026-06-13T23:55:00.485084+08:00,3799
2026-06-13T23:55:05.536282+08:00,3773
2026-06-13T23:55:10.584103+08:00,3773
2026-06-13T23:55:15.636223+08:00,3847
2026-06-13T23:55:20.674469+08:00,3795
2026-06-13T23:55:25.739173+08:00,3795
2026-06-13T23:55:30.784947+08:00,3765
2026-06-13T23:55:35.831708+08:00,3799
2026-06-13T23:55:40.926684+08:00,3799
2026-06-13T23:55:45.985308+08:00,3797
2026-06-13T23:55:51.030920+08:00,3793
2026-06-13T23:55:56.078897+08:00,3793
2026-06-13T23:56:01.141284+08:00,3809
2026-06-13T23:56:06.188717+08:00,3807
2026-06-13T23:56:11.234793+08:00,3807
2026-06-13T23:56:16.286924+08:00,3821
2026-06-13T23:56:21.343585+08:00,3647
2026-06-13T23:56:26.388344+08:00,3647
2026-06-13T23:56:31.436919+08:00,3859
2026-06-13T23:56:36.485266+08:00,3785
2026-06-13T23:56:41.534447+08:00,3785
2026-06-13T23:56:46.634939+08:00,3783
2026-06-13T23:56:51.677778+08:00,3783
2026-06-13T23:56:56.736073+08:00,3643
2026-06-13T23:57:01.796591+08:00,3777
2026-06-13T23:57:06.840358+08:00,3777
2026-06-13T23:57:11.888781+08:00,3785
2026-06-13T23:57:16.931115+08:00,3785
2026-06-13T23:57:21.981314+08:00,3851
2026-06-13T23:57:27.025551+08:00,3895
2026-06-13T23:57:32.067865+08:00,3895
2026-06-13T23:57:37.117941+08:00,3783
2026-06-13T23:57:42.157334+08:00,3757
2026-06-13T23:57:47.203441+08:00,3757
2026-06-13T23:57:52.248423+08:00,3769
2026-06-13T23:57:57.315664+08:00,3777
2026-06-13T23:58:02.368750+08:00,3777
2026-06-13T23:58:07.406450+08:00,3781
2026-06-13T23:58:12.452367+08:00,3789
2026-06-13T23:58:17.521280+08:00,3789
2026-06-13T23:58:22.588002+08:00,3781
2026-06-13T23:58:27.635362+08:00,3761
2026-06-13T23:58:32.674581+08:00,3761
2026-06-13T23:58:37.715688+08:00,3795
2026-06-13T23:58:42.766876+08:00,3777
2026-06-13T23:58:47.814141+08:00,3777
2026-06-13T23:58:52.852839+08:00,3785
2026-06-13T23:58:57.904001+08:00,3779
2026-06-13T23:59:02.958013+08:00,3779
2026-06-13T23:59:08.022045+08:00,3783
2026-06-13T23:59:13.119103+08:00,3625
2026-06-13T23:59:18.159136+08:00,3787
2026-06-13T23:59:23.200608+08:00,3801
2026-06-13T23:59:28.252333+08:00,3801
2026-06-13T23:59:33.301171+08:00,3757
2026-06-13T23:59:38.340912+08:00,3769
2026-06-13T23:59:43.408464+08:00,3769
