scene,metric,count,mean,std,min,max,worst_view,worst_value
mic,psnr,200,37.269861,1.749652,33.158527,40.878296,00097.png,33.158527
mic,ssim,200,0.993983,0.002345,0.985601,0.997118,00097.png,0.985601
mic,lpips,200,0.004916,0.001817,0.001689,0.011077,00096.png,0.011077
train,psnr,38,22.257450,2.660557,16.315992,28.575340,00035.png,16.315992
train,ssim,38,0.825110,0.069429,0.643320,0.920811,00033.png,0.643320
train,lpips,38,0.201022,0.050173,0.132520,0.349075,00033.png,0.349075
