scene,view,psnr,ssim,lpips
train,00033.png,16.64900016784668,0.6433197259902954,0.3490745425224304
train,00018.png,19.667415618896484,0.7034914493560791,0.2736157476902008
train,00017.png,20.42731285095215,0.7090087532997131,0.26771366596221924
train,00016.png,20.20807647705078,0.7109238505363464,0.298028826713562
train,00014.png,17.71186637878418,0.720512330532074,0.2600213885307312
train,00011.png,19.65127182006836,0.7266707420349121,0.23397032916545868
train,00015.png,20.77822494506836,0.7364853024482727,0.1934196949005127
train,00028.png,19.218421936035156,0.7407302260398865,0.21243460476398468
train,00020.png,20.736913681030273,0.7661224007606506,0.26604729890823364
train,00035.png,16.31599235534668,0.7878661751747131,0.28157779574394226
train,00003.png,22.751461029052734,0.7969095706939697,0.2680772840976715
train,00027.png,21.89270782470703,0.7992338538169861,0.21491733193397522
train,00024.png,17.51245880126953,0.8090234994888306,0.19902794063091278
train,00034.png,20.563142776489258,0.8183010220527649,0.2202756553888321
train,00019.png,23.457204818725586,0.8237226009368896,0.18985024094581604
train,00030.png,24.221332550048828,0.8238860964775085,0.2041601836681366
train,00026.png,23.227519989013672,0.8313977122306824,0.1777799278497696
train,00036.png,23.03388786315918,0.8408783674240112,0.16434325277805328
train,00021.png,20.09401512145996,0.8436203598976135,0.19648203253746033
train,00025.png,22.895034790039062,0.8442496061325073,0.13956621289253235
train,00037.png,22.174856185913086,0.847720742225647,0.1924416720867157
train,00007.png,23.804344177246094,0.8512213230133057,0.2019462287425995
train,00008.png,24.560773849487305,0.8633267283439636,0.19174830615520477
train,00006.png,22.761817932128906,0.8649186491966248,0.17043399810791016
train,00023.png,24.493881225585938,0.8673915266990662,0.15697240829467773
train,00005.png,24.050874710083008,0.8693140745162964,0.18814599514007568
train,00000.png,21.820053100585938,0.871160626411438,0.17531552910804749
train,00010.png,22.285728454589844,0.8790206909179688,0.18069398403167725
train,00032.png,24.713558197021484,0.8805888295173645,0.17237776517868042
train,00004.png,25.02872085571289,0.8826631903648376,0.18334701657295227
train,00001.png,24.949216842651367,0.8860362768173218,0.14299792051315308
train,00029.png,26.023231506347656,0.8875720500946045,0.1480937898159027
train,00009.png,22.297061920166016,0.8916935920715332,0.1325196921825409
train,00013.png,24.314762115478516,0.8933435678482056,0.1860172599554062
train,00012.png,24.816495895385742,0.8970226645469666,0.18821097910404205
train,00031.png,28.575340270996094,0.9073576927185059,0.1460593044757843
train,00002.png,24.529964447021484,0.9166568517684937,0.1374039500951767
train,00022.png,23.569162368774414,0.9208105802536011,0.13371926546096802
