view,base_psnr,h1_psnr,delta_psnr,base_ssim,h1_ssim,delta_ssim,base_lpips,h1_lpips,delta_lpips
00000.png,24.53127670288086,22.854679107666016,-1.6765975952148438,0.8910276293754578,0.8751404881477356,-0.015887141227722168,0.1645815670490265,0.16711105406284332,-0.0025294870138168335
00001.png,24.948143005371094,25.26796531677246,0.3198223114013672,0.8868494629859924,0.887736439704895,0.0008869767189025879,0.14316609501838684,0.14122310280799866,0.0019429922103881836
00002.png,24.62507438659668,24.89284324645996,0.26776885986328125,0.9185940027236938,0.9188567399978638,0.0002627372741699219,0.1342359185218811,0.13542819023132324,-0.0011922717094421387
00003.png,22.357707977294922,22.400171279907227,0.04246330261230469,0.7958390712738037,0.7969419360160828,0.0011028647422790527,0.2666689157485962,0.2725294828414917,-0.005860567092895508
00004.png,24.326168060302734,24.936214447021484,0.61004638671875,0.8776775002479553,0.880694568157196,0.0030170679092407227,0.18669083714485168,0.18275326490402222,0.003937572240829468
00005.png,23.855789184570312,23.792823791503906,-0.06296539306640625,0.8706457614898682,0.8693360686302185,-0.0013096928596496582,0.1874658465385437,0.18788090348243713,-0.0004150569438934326
00006.png,22.905067443847656,21.87980842590332,-1.025259017944336,0.8646293878555298,0.8590297698974609,-0.005599617958068848,0.1703113317489624,0.17258064448833466,-0.0022693127393722534
00007.png,23.60167694091797,24.003551483154297,0.4018745422363281,0.8490651249885559,0.8527148365974426,0.0036497116088867188,0.1997569501399994,0.19833561778068542,0.0014213323593139648
00008.png,24.794748306274414,23.708396911621094,-1.0863513946533203,0.8589531779289246,0.857961118221283,-0.0009920597076416016,0.1954858899116516,0.19532813131809235,0.00015775859355926514
00009.png,21.812477111816406,21.5524959564209,-0.2599811553955078,0.888827919960022,0.8873535990715027,-0.0014743208885192871,0.13219261169433594,0.12805739045143127,0.004135221242904663
00010.png,22.559505462646484,23.061683654785156,0.5021781921386719,0.8805018663406372,0.8688110709190369,-0.011690795421600342,0.18102353811264038,0.1786758303642273,0.002347707748413086
00011.png,18.885557174682617,20.150774002075195,1.2652168273925781,0.7137356996536255,0.7280895113945007,0.014353811740875244,0.24177125096321106,0.2337321937084198,0.00803905725479126
00012.png,25.41488265991211,25.14560317993164,-0.26927947998046875,0.9004847407341003,0.8998239636421204,-0.0006607770919799805,0.19140613079071045,0.1803399622440338,0.011066168546676636
00013.png,24.126136779785156,23.49923324584961,-0.6269035339355469,0.8904054760932922,0.8922049403190613,0.001799464225769043,0.18576598167419434,0.18335923552513123,0.0024067461490631104
