timestamp,gpu_mem_mb
2026-06-13T22:10:38.963686+08:00,0
2026-06-13T22:10:44.003389+08:00,1369
2026-06-13T22:10:49.073657+08:00,2413
2026-06-13T22:10:54.128818+08:00,2413
2026-06-13T22:10:59.175170+08:00,2501
2026-06-13T22:11:04.228734+08:00,2519
2026-06-13T22:11:09.288207+08:00,2551
2026-06-13T22:11:14.327921+08:00,2655
2026-06-13T22:11:19.373113+08:00,2703
2026-06-13T22:11:24.420693+08:00,2731
2026-06-13T22:11:29.470989+08:00,2795
2026-06-13T22:11:34.517214+08:00,2885
2026-06-13T22:11:39.567619+08:00,2835
2026-06-13T22:11:44.616594+08:00,2815
2026-06-13T22:11:49.671211+08:00,3061
2026-06-13T22:11:54.711581+08:00,2883
2026-06-13T22:11:59.770507+08:00,2959
2026-06-13T22:12:04.838486+08:00,3093
2026-06-13T22:12:09.881261+08:00,3013
2026-06-13T22:12:14.931427+08:00,2995
2026-06-13T22:12:19.981438+08:00,3167
2026-06-13T22:12:25.034160+08:00,3121
2026-06-13T22:12:30.086312+08:00,3227
2026-06-13T22:12:35.132548+08:00,3159
2026-06-13T22:12:40.179709+08:00,3245
2026-06-13T22:12:45.226969+08:00,3229
2026-06-13T22:12:50.274383+08:00,3197
2026-06-13T22:12:55.325431+08:00,3307
2026-06-13T22:13:00.373026+08:00,3439
2026-06-13T22:13:05.423943+08:00,3477
2026-06-13T22:13:10.468942+08:00,3351
2026-06-13T22:13:15.519193+08:00,3489
2026-06-13T22:13:20.567157+08:00,3489
2026-06-13T22:13:25.618220+08:00,3421
2026-06-13T22:13:30.667091+08:00,3603
2026-06-13T22:13:35.718084+08:00,3687
2026-06-13T22:13:40.769221+08:00,3687
2026-06-13T22:13:45.820822+08:00,3615
2026-06-13T22:13:50.871299+08:00,3659
2026-06-13T22:13:55.922124+08:00,3711
2026-06-13T22:14:00.974888+08:00,3711
2026-06-13T22:14:06.022636+08:00,3789
2026-06-13T22:14:11.084261+08:00,3867
2026-06-13T22:14:16.122727+08:00,3867
