view,base_psnr,base_ssim,base_lpips,old_h1_psnr,old_h1_ssim,old_h1_lpips,delayed_h1_psnr,delayed_h1_ssim,delayed_h1_lpips
00000.png,24.53127670288086,0.8910276293754578,0.1645815670490265,22.854679107666016,0.8751404881477356,0.16711105406284332,25.053081512451172,0.8849682211875916,0.16518771648406982
00001.png,24.948143005371094,0.8868494629859924,0.14316609501838684,25.26796531677246,0.887736439704895,0.14122310280799866,25.776329040527344,0.8887277841567993,0.1453644037246704
00002.png,24.62507438659668,0.9185940027236938,0.1342359185218811,24.89284324645996,0.9188567399978638,0.13542819023132324,24.841508865356445,0.9181521534919739,0.13649579882621765
00003.png,22.357707977294922,0.7958390712738037,0.2666689157485962,22.400171279907227,0.7969419360160828,0.2725294828414917,22.679771423339844,0.7994900941848755,0.2693934440612793
00004.png,24.326168060302734,0.8776775002479553,0.18669083714485168,24.936214447021484,0.880694568157196,0.18275326490402222,24.609390258789062,0.8789241909980774,0.18404142558574677
00005.png,23.855789184570312,0.8706457614898682,0.1874658465385437,23.792823791503906,0.8693360686302185,0.18788090348243713,24.502239227294922,0.8728310465812683,0.18738894164562225
00006.png,22.905067443847656,0.8646293878555298,0.1703113317489624,21.87980842590332,0.8590297698974609,0.17258064448833466,21.63400650024414,0.8587964773178101,0.1751924753189087
00007.png,23.60167694091797,0.8490651249885559,0.1997569501399994,24.003551483154297,0.8527148365974426,0.19833561778068542,23.624359130859375,0.8502072691917419,0.20435437560081482
00008.png,24.794748306274414,0.8589531779289246,0.1954858899116516,23.708396911621094,0.857961118221283,0.19532813131809235,24.661130905151367,0.859614372253418,0.19629892706871033
00009.png,21.812477111816406,0.888827919960022,0.13219261169433594,21.5524959564209,0.8873535990715027,0.12805739045143127,22.58681297302246,0.8929275274276733,0.12748655676841736
00010.png,22.559505462646484,0.8805018663406372,0.18102353811264038,23.061683654785156,0.8688110709190369,0.1786758303642273,22.292205810546875,0.8794634938240051,0.1807348132133484
00011.png,18.885557174682617,0.7137356996536255,0.24177125096321106,20.150774002075195,0.7280895113945007,0.2337321937084198,19.103092193603516,0.721892237663269,0.2373768389225006
00012.png,25.41488265991211,0.9004847407341003,0.19140613079071045,25.14560317993164,0.8998239636421204,0.1803399622440338,25.315521240234375,0.901453971862793,0.18628579378128052
00013.png,24.126136779785156,0.8904054760932922,0.18576598167419434,23.49923324584961,0.8922049403190613,0.18335923552513123,23.18680763244629,0.8908694982528687,0.18255163729190826
